date,max_temp,min_temp
2021-08-01,25.0,13.8
2021-08-02,28.2,13.8
2021-08-03,29.5,15.1
2021-08-04,31.2,14.9
2021-08-05,33.2,16.9
2021-08-06,31.5,15.9
2021-08-07,31.4,15.1
2021-08-08,31.8,14.1
2021-08-09,31.3,15.0
2021-08-10,29.4,16.0
2021-08-11,29.9,15.5
2021-08-12,28.4,15.9
2021-08-13,30.1,16.8
2021-08-14,30.7,16.0
2022-08-01,28.7,14.5
2022-08-02,26.9,16.2
2022-08-03,28.6,16.3
2022-08-04,27.6,16.7
2022-08-05,26.7,14.3
2022-08-06,27.7,14.3
2022-08-07,29.8,16.0
2022-08-08,28.4,15.8
2022-08-09,28.8,14.8
2022-08-10,26.7,14.5
2022-08-11,25.3,14.2
2022-08-12,26.2,13.7
2022-08-13,24.0,14.7
2022-08-14,24.7,14.1
2023-08-01,28.5,15.4
2023-08-02,28.3,16.9
2023-08-03,30.3,14.8
2023-08-04,31.9,15.8
2023-08-05,34.5,16.0
2023-08-06,34.0,14.1
2023-08-07,31.6,16.5
2023-08-08,31.3,17.7
2023-08-09,27.3,15.4
2023-08-10,25.9,14.4
2023-08-11,28.1,14.0
2023-08-12,25.9,14.9
2023-08-13,28.9,13.8
2023-08-14,29.4,15.2
2024-08-01,35.5,19.2
2024-08-02,30.8,20.5
2024-08-03,33.0,17.2
2024-08-04,33.2,18.1
2024-08-05,31.6,16.9
2024-08-06,33.2,19.8
2024-08-07,29.1,18.2
2024-08-08,29.7,16.0
2024-08-09,28.6,16.8
2024-08-10,28.3,16.1
2024-08-11,24.3,16.0
2024-08-12,25.4,14.3
2024-08-13,27.7,14.2
2024-08-14,30.7,12.7
2025-08-01,32.4,15.1
2025-08-02,33.3,14.5
2025-08-03,33.4,11.6
2025-08-04,33.4,13.0
2025-08-05,33.6,14.3
2025-08-06,34.6,15.9
2025-08-07,35.1,15.6
2025-08-08,33.8,17.3
2025-08-09,33.2,15.7
2025-08-10,32.0,17.9
2025-08-11,32.2,17.2
2025-08-12,33.1,15.9
2025-08-13,33.4,15.5
2025-08-14,28.9,17.0
